service_id,date,exception_type
3,20160905,1
1,20160905,2
3,20161124,1
1,20161124,2
3,20161225,1
3,20161226,1
1,20161226,2
3,20170101,1
2201,20160906,1
2201,20160907,1
2201,20160908,1
2201,20160909,1
2201,20160912,1
2201,20160913,1
2201,20160914,1
2201,20160915,1
2201,20160916,1
2201,20160919,1
2201,20160920,1
2201,20160921,1
2201,20160922,1
2201,20160926,1
2201,20160927,1
2201,20160928,1
2201,20160929,1
2201,20160930,1
2201,20161003,1
2201,20161004,1
2201,20161005,1
2201,20161006,1
2201,20161007,1
2201,20161010,1
2201,20161011,1
2201,20161012,1
2201,20161013,1
2201,20161017,1
2201,20161018,1
2201,20161019,1
2201,20161020,1
2201,20161021,1
2201,20161024,1
2201,20161025,1
2201,20161027,1
2201,20161028,1
2201,20161031,1
2201,20161101,1
2201,20161102,1
2201,20161103,1
2201,20161104,1
2201,20161107,1
2201,20161109,1
2201,20161110,1
2201,20161111,1
2201,20161114,1
2201,20161115,1
2201,20161116,1
2201,20161117,1
2201,20161118,1
2201,20161121,1
2201,20161122,1
2201,20161128,1
2201,20161129,1
2201,20161130,1
2201,20161201,1
2201,20161202,1
2201,20161205,1
2201,20161206,1
2201,20161207,1
2201,20161208,1
2201,20161209,1
2201,20161212,1
2201,20161213,1
2201,20161214,1
2201,20161215,1
2201,20161216,1
2201,20161219,1
2201,20161220,1
2301,20160906,1
2301,20160907,1
2301,20160908,1
2301,20160909,1
2301,20160912,1
2301,20160913,1
2301,20160914,1
2301,20160915,1
2301,20160916,1
2301,20160919,1
2301,20160920,1
2301,20160921,1
2301,20160922,1
2301,20160923,1
2301,20160926,1
2301,20160927,1
2301,20160928,1
2301,20160929,1
2301,20160930,1
2301,20161003,1
2301,20161004,1
2301,20161005,1
2301,20161006,1
2301,20161007,1
2301,20161010,1
2301,20161011,1
2301,20161012,1
2301,20161017,1
2301,20161018,1
2301,20161019,1
2301,20161020,1
2301,20161021,1
2301,20161024,1
2301,20161025,1
2301,20161026,1
2301,20161027,1
2301,20161028,1
2301,20161031,1
2301,20161101,1
2301,20161102,1
2301,20161103,1
2301,20161104,1
2301,20161107,1
2301,20161108,1
2301,20161109,1
2301,20161110,1
2301,20161114,1
2301,20161115,1
2301,20161116,1
2301,20161117,1
2301,20161118,1
2301,20161121,1
2301,20161122,1
2301,20161128,1
2301,20161129,1
2301,20161130,1
2301,20161201,1
2301,20161202,1
2301,20161205,1
2301,20161206,1
2301,20161207,1
2301,20161208,1
2301,20161209,1
2301,20161212,1
2301,20161213,1
2301,20161214,1
2301,20161215,1
201,20160908,1
201,20160909,1
201,20160915,1
201,20160916,1
201,20160922,1
201,20160923,1
201,20160929,1
201,20160930,1
201,20161006,1
201,20161007,1
201,20161013,1
201,20161014,1
201,20161020,1
201,20161021,1
201,20161027,1
201,20161028,1
201,20161103,1
201,20161104,1
201,20161110,1
201,20161111,1
201,20161117,1
201,20161118,1
201,20161125,1
201,20161201,1
201,20161202,1
201,20161208,1
201,20161209,1
201,20161215,1
201,20161216,1
201,20161222,1
201,20161223,1
201,20161229,1
201,20161230,1
2401,20161012,1
2401,20161013,1
2401,20161016,1
2401,20161122,1
2401,20161123,1
2401,20161126,1
2401,20161127,1
2401,20161211,1
2401,20161212,1
2401,20161213,1
2401,20161214,1
2401,20161215,1
2401,20161216,1
2401,20161217,1
2401,20161218,1
2401,20161219,1
2401,20161220,1
2401,20161221,1
9101,20160906,1
9101,20160907,1
9101,20160908,1
9101,20160912,1
9101,20160913,1
9101,20160914,1
9101,20160915,1
9101,20160919,1
9101,20160920,1
9101,20160921,1
9101,20160922,1
9101,20160926,1
9101,20160927,1
9101,20160928,1
9101,20160929,1
9101,20161003,1
9101,20161004,1
9101,20161005,1
9101,20161006,1
9101,20161010,1
9101,20161011,1
9101,20161012,1
9101,20161013,1
9101,20161016,1
9101,20161017,1
9101,20161018,1
9101,20161019,1
9101,20161020,1
9101,20161024,1
9101,20161025,1
9101,20161026,1
9101,20161027,1
9101,20161031,1
9101,20161101,1
9101,20161102,1
9101,20161103,1
9101,20161107,1
9101,20161108,1
9101,20161109,1
9101,20161110,1
9101,20161114,1
9101,20161115,1
9101,20161116,1
9101,20161117,1
9101,20161121,1
9101,20161122,1
9101,20161123,1
9101,20161124,1
9101,20161126,1
9101,20161127,1
9101,20161128,1
9101,20161129,1
9101,20161130,1
9101,20161201,1
9101,20161205,1
9101,20161206,1
9101,20161207,1
9101,20161208,1
9101,20161211,1
9101,20161212,1
9101,20161213,1
9101,20161214,1
9101,20161215,1
9101,20161217,1
9101,20161218,1
9101,20161219,1
9101,20161220,1
9101,20161221,1
9101,20161222,1
9101,20161225,1
9101,20161229,1
9101,20170101,1
9201,20160909,1
9201,20160916,1
9201,20160923,1
9201,20160930,1
9201,20161007,1
9201,20161014,1
9201,20161021,1
9201,20161028,1
9201,20161104,1
9201,20161111,1
9201,20161118,1
9201,20161125,1
9201,20161202,1
9201,20161209,1
9201,20161216,1
9201,20161223,1
9201,20161230,1
2402,20161016,1
2402,20161123,1
2402,20161126,1
2402,20161127,1
2402,20161211,1
2402,20161217,1
2402,20161218,1
2402,20161221,1
2403,20161016,1
2403,20161123,1
2403,20161126,1
2403,20161127,1
2403,20161211,1
2403,20161217,1
2403,20161218,1
2403,20161221,1
8603,20161016,1
8603,20161123,1
8603,20161126,1
8603,20161127,1
8603,20161211,1
8603,20161217,1
8603,20161218,1
8603,20161221,1
