fare_id,route_id,origin_id,destination_id,contains_id
LOCAL,001,,,
LOCAL,002,,,
LOCAL,003,,,
LOCAL,004,,,
LOCAL,005,,,
LOCAL,006,,,
LOCAL,007,,,
LOCAL,008,,,
LOCAL,009,,,
LOCAL,010,,,
LOCAL,011,,,
LOCAL,012,,,
LOCAL,013,,,
LOCAL,014,,,
LOCAL,015,,,
LOCAL,016,,,
LOCAL,018,,,
LOCAL,019,,,
LOCAL,021,,,
EXPRESS,027,,,
EXPRESS,029,,,
EXPRESS,030,,,
EXPRESS,031,,,
EXPRESS,032,,,
EXPRESS,033,,,
EXPRESS,034,,,
EXPRESS,035,,,
EXPRESS,036,,,
EXPRESS,037,,,
EXPRESS,038,,,
EXPRESS,039,,,
EXPRESS,040,,,
EXPRESS,041,,,
EXPRESS,043,,,
EXPRESS,044,,,
EXPRESS,045,,,
EXPRESS,046,,,
EXPRESS,047,,,
EXPRESS,048,,,
EXPRESS,049,,,
EXPRESS,052,,,
EXPRESS,053,,,
EXPRESS,054,,,
EXPRESS,055,,,
EXPRESS,056,,,
EXPRESS,057,,,
EXPRESS,058,,,
EXPRESS,059,,,
EXPRESS,061,,,
EXPRESS,064,,,
EXPRESS,065,,,
EXPRESS,067,,,
EXPRESS,068,,,
CBUS,070,,,
LOCAL,080,,,
LOCAL,081,,,
LOCAL,082,,,
LOCAL,083,,,
LOCAL,084,,,
LOCAL,087,,,
LOCAL,089,,,
LOCAL,092,,,
LOCAL,095,,,
LOCAL,096,,,
LOCAL,102,,,
LOCAL,118,,,
LOCAL,131,,,
EXPRESS,152,,,

