shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
43972,40.037991,-82.963090,1,0.0000
43972,40.037709,-82.963209,2,0.0335
43972,40.037421,-82.962487,3,0.1024
43972,40.035772,-82.963244,4,0.2982
43972,40.035603,-82.963326,5,0.3184
43972,40.035300,-82.963438,6,0.3536
43972,40.035107,-82.963514,7,0.3757
43972,40.034834,-82.963573,8,0.4071
43972,40.034637,-82.963617,9,0.4295
43972,40.034491,-82.963641,10,0.4456
43972,40.034160,-82.963717,11,0.4831
43972,40.033814,-82.963789,12,0.5226
43972,40.033676,-82.963816,13,0.5388
43972,40.033261,-82.963865,14,0.5850
43972,40.032869,-82.963897,15,0.6291
43972,40.032753,-82.963906,16,0.6421
43972,40.032514,-82.963925,17,0.6692
43972,40.032034,-82.963977,18,0.7233
43972,40.032026,-82.963973,19,0.7233
43972,40.031670,-82.964005,20,0.7634
43972,40.031677,-82.964009,21,0.7634
43972,40.031309,-82.964039,22,0.8045
43972,40.030952,-82.964071,23,0.8447
43972,40.030792,-82.964078,24,0.8627
43972,40.030785,-82.964074,25,0.8627
43972,40.030321,-82.964113,26,0.9147
43972,40.030328,-82.964117,27,0.9147
43972,40.029897,-82.964155,28,0.9629
43972,40.029730,-82.964169,29,0.9819
43972,40.029505,-82.964189,30,1.0070
43972,40.029020,-82.964219,31,1.0611
43972,40.028601,-82.964250,32,1.1082
43972,40.028135,-82.964288,33,1.1602
43972,40.027527,-82.964334,34,1.2284
43972,40.026933,-82.964386,35,1.2955
43972,40.026556,-82.964418,36,1.3376
43972,40.025594,-82.964488,37,1.4458
43972,40.025270,-82.964520,38,1.4819
43972,40.024575,-82.964583,39,1.5601
43972,40.023927,-82.964634,40,1.6332
43972,40.023667,-82.964664,41,1.6624
43972,40.023098,-82.964717,42,1.7265
43972,40.022754,-82.964750,43,1.7646
43972,40.021751,-82.964813,44,1.8777
43972,40.021033,-82.964864,45,1.9579
43972,40.020842,-82.964877,46,1.9789
43972,40.020736,-82.964889,47,1.9910
43972,40.020174,-82.964939,48,2.0541
43972,40.019707,-82.964981,49,2.1072
43972,40.019026,-82.965034,50,2.1833
43972,40.018690,-82.965061,51,2.2215
43972,40.017800,-82.965124,52,2.3206
43972,40.017317,-82.965156,53,2.3747
43972,40.017084,-82.965283,54,2.4029
43972,40.016445,-82.965674,55,2.4821
43972,40.016366,-82.965725,56,2.4919
43972,40.015479,-82.966271,57,2.6015
43972,40.014801,-82.966685,58,2.6852
43972,40.014584,-82.966833,59,2.7120
43972,40.013678,-82.967404,60,2.8252
43972,40.013003,-82.967819,61,2.9080
43972,40.012896,-82.967884,62,2.9210
43972,40.012171,-82.968327,63,3.0113
43972,40.011356,-82.968822,64,3.1116
43972,40.011151,-82.968948,65,3.1371
43972,40.011115,-82.968970,66,3.1412
43972,40.010542,-82.969322,67,3.2119
43972,40.010308,-82.969466,68,3.2405
43972,40.010181,-82.969538,69,3.2571
43972,40.009719,-82.969827,70,3.3134
43972,40.009456,-82.969987,71,3.3465
43972,40.008896,-82.970326,72,3.4146
43972,40.008857,-82.970350,73,3.4199
43972,40.008052,-82.970847,74,3.5197
43972,40.007236,-82.971350,75,3.6199
43972,40.007113,-82.971427,76,3.6356
43972,40.006276,-82.971936,77,3.7389
43972,40.005433,-82.972451,78,3.8427
43972,40.004759,-82.972862,79,3.9264
43972,40.004636,-82.972937,80,3.9407
43972,40.003954,-82.973378,81,4.0261
43972,40.003846,-82.973449,82,4.0396
43972,40.003302,-82.973792,83,4.1071
43972,40.003183,-82.973870,84,4.1219
43972,40.003055,-82.973953,85,4.1384
43972,40.002345,-82.974410,86,4.2265
43972,40.002255,-82.974476,87,4.2377
43972,40.002126,-82.974552,88,4.2542
43972,40.001326,-82.975069,89,4.3535
43972,40.000351,-82.975696,90,4.4747
43972,39.999594,-82.976182,91,4.5691
43972,39.999437,-82.976291,92,4.5892
43972,39.998744,-82.976727,93,4.6747
43972,39.998581,-82.976830,94,4.6957
43972,39.998065,-82.977165,95,4.7596
43972,39.997886,-82.977313,96,4.7830
43972,39.997336,-82.977878,97,4.8614
43972,39.996981,-82.978255,98,4.9126
43972,39.996849,-82.978401,99,4.9310
43972,39.995997,-82.979292,100,5.0535
43972,39.995731,-82.979576,101,5.0919
43972,39.995433,-82.979884,102,5.1339
43972,39.995084,-82.980248,103,5.1837
43972,39.993742,-82.981671,104,5.3764
43972,39.993708,-82.981706,105,5.3809
43972,39.993297,-82.982128,106,5.4393
43972,39.992798,-82.982663,107,5.5118
43972,39.991844,-82.983670,108,5.6485
43972,39.991410,-82.984110,109,5.7091
43972,39.991343,-82.984178,110,5.7191
43972,39.990648,-82.984879,111,5.8169
43972,39.990528,-82.985002,112,5.8339
43972,39.990188,-82.985360,113,5.8823
43972,39.989939,-82.985613,114,5.9179
43972,39.989304,-82.986282,115,6.0083
43972,39.989019,-82.986566,116,6.0483
43972,39.988142,-82.987462,117,6.1724
43972,39.988009,-82.987603,118,6.1916
43972,39.987437,-82.988176,119,6.2722
43972,39.986982,-82.988636,120,6.3364
43972,39.986555,-82.989071,121,6.3970
43972,39.986452,-82.989151,122,6.4100
43972,39.985494,-82.989232,123,6.5182
43972,39.984343,-82.989320,124,6.6464
43972,39.983478,-82.989392,125,6.7436
43972,39.983053,-82.989422,126,6.7917
43972,39.982645,-82.989451,127,6.8378
43972,39.982244,-82.989491,128,6.8829
43972,39.981805,-82.989523,129,6.9320
43972,39.981024,-82.989583,130,7.0191
43972,39.980768,-82.989605,131,7.0482
43972,39.980352,-82.989641,132,7.0953
43972,39.980108,-82.989665,133,7.1224
43972,39.979874,-82.989676,134,7.1484
43972,39.979663,-82.989697,135,7.1725
43972,39.978778,-82.989765,136,7.2717
43972,39.978565,-82.989777,137,7.2957
43972,39.977511,-82.989864,138,7.4139
43972,39.974329,-82.990095,139,7.7705
43972,39.973437,-82.990162,140,7.8706
43972,39.972512,-82.990235,141,7.9749
43972,39.972298,-82.990250,142,7.9989
43972,39.971982,-82.990278,143,8.0339
43972,39.971781,-82.990296,144,8.0570
43972,39.971687,-82.990305,145,8.0671
43972,39.971548,-82.990315,146,8.0831
43972,39.971336,-82.990333,147,8.1072
43972,39.971065,-82.990351,148,8.1372
43972,39.970512,-82.990392,149,8.1993
43972,39.970377,-82.990401,150,8.2143
43972,39.969865,-82.990439,151,8.2724
43972,39.969261,-82.990486,152,8.3395
43972,39.969151,-82.990507,153,8.3527
43972,39.968595,-82.990553,154,8.4148
43972,39.967837,-82.990608,155,8.5000
43972,39.967451,-82.990636,156,8.5430
43972,39.967438,-82.990700,157,8.5491
